code,description,system,probable_cause,fix,severity
P0100,Mass Air Flow Sensor Circuit Malfunction,Engine,Dirty or faulty MAF sensor,Clean or replace MAF sensor,Medium
P0101,Mass Air Flow Sensor Range/Performance,Engine,Air leak or faulty MAF sensor,Check air intake for leaks; replace MAF if needed,Medium
P0102,Mass Air Flow Sensor Low Input,Engine,Wiring issue or faulty MAF,Inspect wiring harness; replace MAF sensor,Medium
P0103,Mass Air Flow Sensor High Input,Engine,Short circuit in MAF wiring,Check and repair wiring; replace MAF sensor,Medium
P0110,Intake Air Temperature Sensor Circuit,Engine,Faulty IAT sensor or wiring,Replace IAT sensor,Low
P0112,Intake Air Temperature Sensor Low Input,Engine,Short to ground in IAT circuit,Inspect and repair IAT wiring,Low
P0113,Intake Air Temperature Sensor High Input,Engine,Open circuit in IAT sensor,Replace IAT sensor,Low
P0116,Engine Coolant Temperature Sensor Range,Engine,Faulty ECT sensor or stuck thermostat,Replace ECT sensor or thermostat,Medium
P0117,Engine Coolant Temperature Sensor Low,Engine,Short to ground in ECT circuit,Inspect wiring; replace ECT sensor,Medium
P0118,Engine Coolant Temperature Sensor High,Engine,Open circuit in ECT sensor,Replace ECT sensor,Medium
P0128,Coolant Temperature Below Thermostat Regulating Temperature,Engine,Stuck open thermostat,Replace thermostat,Medium
P0171,System Too Lean Bank 1,Fuel,Vacuum leak or clogged fuel injector,Check for vacuum leaks; clean injectors,Medium
P0172,System Too Rich Bank 1,Fuel,Leaking fuel injector or faulty O2 sensor,Inspect injectors; replace O2 sensor,Medium
P0174,System Too Lean Bank 2,Fuel,Vacuum leak on bank 2 side,Inspect intake manifold gaskets,Medium
P0175,System Too Rich Bank 2,Fuel,Faulty fuel pressure regulator,Replace fuel pressure regulator,Medium
P0200,Injector Circuit Malfunction,Fuel,Faulty injector or wiring issue,Inspect injector wiring; replace injector,High
P0201,Injector Circuit Malfunction Cylinder 1,Fuel,Faulty cylinder 1 injector,Replace injector on cylinder 1,High
P0202,Injector Circuit Malfunction Cylinder 2,Fuel,Faulty cylinder 2 injector,Replace injector on cylinder 2,High
P0203,Injector Circuit Malfunction Cylinder 3,Fuel,Faulty cylinder 3 injector,Replace injector on cylinder 3,High
P0204,Injector Circuit Malfunction Cylinder 4,Fuel,Faulty cylinder 4 injector,Replace injector on cylinder 4,High
P0261,Cylinder 1 Injector Circuit Low,Fuel,Short to ground in injector wiring,Repair wiring or replace injector,High
